name,region
kafka:gcp_nl_prod_acquiring_capture_status_updated_event,nl
kafka:gcp_nl_prod_acquiring_merchant_event_topic,nl
kafka:gcp_nl_prod_acquiring_payment_executor_capture_request_mastercard,nl
kafka:gcp_nl_prod_acquiring_payment_executor_capture_request_valitor,nl
kafka:gcp_nl_prod_acquiring_payment_executor_capture_request_visa,nl
kafka:gcp_nl_prod_attempt_expire_topic,nl
kafka:gcp_nl_prod_clearing_house_clearing_output_topic,nl
kafka:gcp_nl_prod_clearing_house_fee_details_topic,nl
kafka:gcp_nl_prod_clearing_house_send_fee_msg_to_settlement_event_topic,nl
kafka:gcp_nl_prod_clearing_house_settlement_request_event_topic,nl
kafka:gcp_nl_prod_clearing_house_settlement_result_event_topic,nl
kafka:gcp_nl_prod_clearing_house_settlement_result_event_topic,unknown
kafka:gcp_nl_prod_clearing_transaction_event_topic,nl
kafka:gcp_nl_prod_core_banking_financial_transaction_events,nl
kafka:gcp_nl_prod_dispute_event_topic,nl
kafka:gcp_nl_prod_dispute_risk_event_topic,nl
kafka:gcp_nl_prod_fee_clearing_event_topic,nl
kafka:gcp_nl_prod_financial_transaction_core_transaction_request,hk
kafka:gcp_nl_prod_fraud_auth_result_event_topic,nl
kafka:gcp_nl_prod_fraud_case_creation_event_topic,nl
kafka:gcp_nl_prod_fraud_case_update_event_topic,nl
kafka:gcp_nl_prod_fraud_provider_response_creation_event_topic,nl
kafka:gcp_nl_prod_internal_payment_update_fusion_event_topic,nl
kafka:gcp_nl_prod_iss_ft_event_nl_topic,us
kafka:gcp_nl_prod_midas_record_topic_to_hk,nl
kafka:gcp_nl_prod_order_ledger_event,nl
kafka:gcp_nl_prod_pa.post_authorization_transaction_fail_events,nl
kafka:gcp_nl_prod_pa.post_fraud_transaction_events,nl
kafka:gcp_nl_prod_pa.pre_fraud_transaction_events,nl
kafka:gcp_nl_prod_pa.risk.post_fraud_transaction_events,nl
kafka:gcp_nl_prod_pa.risk.pre_fraud_transaction_events,nl
kafka:gcp_nl_prod_pa_internal_notification_event_topic,nl
kafka:gcp_nl_prod_pa_schedule_endpoint_topic,nl
kafka:gcp_nl_prod_payment_core_clearing_event_topic,nl
kafka:gcp_nl_prod_payment_core_event_topic,nl
kafka:gcp_nl_prod_refund_received_event_topic,nl
kafka:gcp_nl_prod_risk_decision_events,nl
kafka:gcp_nl_prod_tsp_token_status_topic,nl
kafka:gcp_nl_prod_visa_authorizations,nl
kafka:gcp_sg_PROD_CARD_COMMAND_TOPIC,sg
kafka:gcp_sg_PROD_CARD_HOLDER_EVENT_TOPIC,sg
kafka:gcp_sg_PROD_ISS_3DS_EVENT_TOPIC,sg
kafka:gcp_sg_PROD_ISS_AUTHORIZATION_TX_TOPIC,sg
kafka:gcp_sg_PROD_ISS_CARD_CHANGE_EVENT_API_TOPIC,sg
kafka:gcp_sg_PROD_ISS_CARD_CHANGE_STREAM_APP_ID-v1.1.1-TABLE_gcp_sg_PROD_ISS_CARD_CHANGE_STREAM_APP_ID-v1.1.1card_entity-changelog,sg
kafka:gcp_sg_PROD_ISS_CARD_CHANGE_STREAM_APP_ID-v1.1.1-TABLE_gcp_sg_PROD_ISS_CARD_CHANGE_STREAM_APP_ID-v1.1.1card_owners-changelog,sg
kafka:gcp_sg_PROD_ISS_CARD_CHANGE_STREAM_APP_ID-v1.1.1-gcp_sg_PROD_ISS_CARD_CHANGE_STREAM_APP_ID-v1.1.1-repartition,sg
kafka:gcp_sg_PROD_ISS_CARD_EVENT_TOPIC,sg
kafka:gcp_sg_PROD_ISS_CARD_OWNERS_EVENT_TOPIC,sg
kafka:gcp_sg_PROD_ISS_CARD_SPEND_EVENT_TOPIC,sg
kafka:gcp_sg_PROD_ISS_DIGITAL_TOKEN_EVENT_TOPIC,sg
kafka:gcp_sg_PROD_ISS_DIGITAL_TOKEN_NOTIFICATION_EVENT_TOPIC,us
kafka:gcp_sg_PROD_ISS_OUTSTANDING_AUTHORIZATION_CHANGE_TOPIC,sg
kafka:gcp_sg_PROD_ISS_PCI_CARD_EVENT_TOPIC,sg
kafka:gcp_sg_PROD_ISS_STATUS_UPDATE_TOPIC,sg
kafka:gcp_sg_PROD_ISS_WALLET_EVENT_TOPIC,sg
kafka:gcp_sg_prod.approval.request,sg
kafka:gcp_sg_prod.approval.status,sg
kafka:gcp_sg_prod.approval.updates,sg
kafka:gcp_sg_prod.gtpn.rails_api_gateway.rebalance_status_update_event.0,sg
kafka:gcp_sg_prod.gtpn.rails_api_gateway.remittance_status_update_event.0,sg
