fromService,fromRegion,fromLabel,toService,toRegion,toLabel
airwallexpayservice,hk,Service,kafka:gcp_hk_prod.notification.events,hk,MessageQueue
airwallexpayservice,hk,Service,airwallexpayservice,hk,Service
airwallexpayservice,hk,Service,finance-core-banking-api-gateway,hk,Service
ali-prod-hk-airstream-api,hk,Service,ali-prod-hk-airstream-api,hk,Service
ali-prod-hk-billing-center-publisher,hk,Service,kafka:midas_record_topic,hk,MessageQueue
ali-prod-hk-billing-center-publisher,hk,Service,awx-account-service,alihk,Service
ali-prod-hk-conversion-api,hk,Service,ali-prod-hk-quote-api,hk,Service
ali-prod-hk-conversion-api,hk,Service,apptransactionservice,hk,Service
ali-prod-hk-conversion-api,hk,Service,awx-account-service,alihk,Service
ali-prod-hk-conversion-api,hk,Service,finance-client-wallet-v2,hk,Service
ali-prod-hk-conversion-api,hk,Service,kafka:awx.fx.error.response.captured.conversion,hk,MessageQueue
ali-prod-hk-conversion-api,hk,Service,kafka:awx.fx.constructed.quote.captured.conversion,hk,MessageQueue
ali-prod-hk-conversion-api,hk,Service,postgresql:conversions,hk,DB
ali-prod-hk-conversion-api,hk,Service,redis,hk,DB
ali-prod-hk-conversion-api,hk,Service,kafka:awx.fx.request.intent.captured.conversion,hk,MessageQueue
ali-prod-hk-conversion-api,hk,Service,finance-core-banking-api-gateway,hk,Service
ali-prod-hk-conversion-monitor,hk,Service,kafka:awx-conversion-monitor-debezium-unsettled-conversion-event-store-changelog,hk,MessageQueue
ali-prod-hk-conversion-monitor,hk,Service,kafka:awx-conversion-monitor-debezium-pending-conversion-event-store-changelog,hk,MessageQueue
ali-prod-hk-conversion-processor,hk,Service,kafka:notification.events,hk,MessageQueue
ali-prod-hk-conversion-processor,hk,Service,kafka:legacy_gtpn_transaction_events_local,hk,MessageQueue
ali-prod-hk-conversion-processor,hk,Service,ali-prod-hk-trading-api,hk,Service
ali-prod-hk-conversion-processor,hk,Service,postgresql:conversions,hk,DB
ali-prod-hk-conversion-processor,hk,Service,kafka:awx.fx.conversion.events,hk,MessageQueue
ali-prod-hk-fx-dashboard-api,hk,Service,airboardng-api,alihk,Service
ali-prod-hk-fx-dashboard-api,hk,Service,postgresql:fx_dashboard_api,hk,DB
ali-prod-hk-fx-dashboard-api,hk,Service,ali-prod-hk-timeseries-api,hk,Service
ali-prod-hk-fx-order-graphql-api,hk,Service,awx-account-service,alihk,Service
ali-prod-hk-gtpn-bridge,hk,Service,kafka:awx.fx.gtpn.bridge.payout.order.v2.1,hk,MessageQueue
ali-prod-hk-notification-engine,hk,Service,kafka:awx.notification.notification_event,hk,MessageQueue
ali-prod-hk-open-position-api,hk,Service,finance-subwallet-management-api,hk,Service
ali-prod-hk-order-api,hk,Service,postgresql:fxorders,hk,DB
ali-prod-hk-order-notifier,hk,Service,postgresql:fxorders,hk,DB
ali-prod-hk-order-processor,hk,Service,postgresql:fxorders,hk,DB
ali-prod-hk-order-triggerer,hk,Service,postgresql:fxorders,hk,DB
ali-prod-hk-pricing-api,hk,Service,finance-client-wallet-v2,hk,Service
ali-prod-hk-pricing-api,hk,Service,kafka:awx.notification.alert_event,hk,MessageQueue
ali-prod-hk-pricing-api,hk,Service,redis,hk,DB
ali-prod-hk-quote-api,hk,Service,kafka:awx.pricing.quote_request.hk.aliyun,hk,MessageQueue
ali-prod-hk-quote-api,hk,Service,kafka:awx.pricing.quote.hk.aliyun,hk,MessageQueue
ali-prod-hk-settlement-api,hk,Service,postgresql:fxsettlement,hk,DB
ali-prod-hk-timeseries-api,hk,Service,postgresql:pricing_engine,hk,DB
ali-prod-hk-timeseries-api,hk,Service,postgresql:pricing,hk,DB
ali-prod-hk-trading-api,hk,Service,kafka:awx.execution.client.trade.captured,hk,MessageQueue
ali-prod-hk-wallet-event-listener,hk,Service,postgresql:conversions,hk,DB
ali-prod-hk-wallet-event-listener,hk,Service,kafka:awx.fx.conversion.legacy.combined,hk,MessageQueue
ali-prod-tk-airstream-api,tk,Service,ali-prod-tk-airstream-api,tk,Service
ali-prod-tk-airstream-bridge,tk,Service,kafka:awx.airstream.events,unknown,MessageQueue
ali-prod-tk-apm-spot-price-aggregator,tk,Service,kafka:awx.fx.apm.aggregated.spot.price,unknown,MessageQueue
ali-prod-tk-apm-spot-price-calculator,tk,Service,kafka:awx.fx.apm.calculated.spot.price,unknown,MessageQueue
ali-prod-tk-entrepot-blotter-stream,tk,Service,kafka:awx.execution.entrepot.payment.events,unknown,MessageQueue
ali-prod-tk-entrepot-blotter-stream,tk,Service,kafka:awx.execution.entrepot.blotter.raw.events,unknown,MessageQueue
ali-prod-tk-entrepot-keeper,tk,Service,kafka:awx.execution.entrepot.prekeyed.blotter.events,unknown,MessageQueue
ali-prod-tk-entrepot-keeper,tk,Service,kafka:awx.execution.entrepot.position.events,unknown,MessageQueue
ali-prod-tk-entrepot-keeper,tk,Service,kafka:awx-daily-entrepot-position-keeper-daily-entrepot-position-store-changelog,unknown,MessageQueue
ali-prod-tk-entrepot-keeper,tk,Service,kafka:awx-entrepot-keeper-entrepot-position-store-changelog,unknown,MessageQueue
ali-prod-tk-entrepot-keeper,tk,Service,kafka:awx-daily-entrepot-position-keeper-daily-entrepot-position-store-repartition,unknown,MessageQueue
ali-prod-tk-entrepot-keeper,tk,Service,kafka:awx.execution.entrepot.daily.position.events,unknown,MessageQueue
ali-prod-tk-entrepot-keeper,tk,Service,kafka:awx.execution.entrepot.blotter.events,unknown,MessageQueue
ali-prod-tk-execution-monitor,tk,Service,kafka:execution-monitor-monitor-trade-store-changelog,unknown,MessageQueue
ali-prod-tk-execution-monitor,tk,Service,kafka:awx.execution.monitor.keyed.trade.captured,unknown,MessageQueue
ali-prod-tk-execution-monitor,tk,Service,kafka:execution-monitor-monitor-client-trade-store-changelog,unknown,MessageQueue
ali-prod-tk-execution-monitor,tk,Service,kafka:awx.execution.monitor.keyed.client.trade.captured,unknown,MessageQueue
ali-prod-tk-execution-signaler,tk,Service,kafka:execution-signaler-execution.signaler.state-changelog,unknown,MessageQueue
ali-prod-tk-fx-dashboard-api,tk,Service,postgresql:fx_dashboard_api,unknown,DB
ali-prod-tk-fx-event-demux,tk,Service,kafka:awx.execution.monitor.aggregation.summary.events.remote,unknown,MessageQueue
