serviceName,region,label
gcp-prod-sg-settlement-api,sg,Service
gcp-prod-sg-timeseries-api,sg,Service
gcp-prod-sg-trade-event-transformer,sg,Service
gcp-prod-sg-trading-api,sg,Service
gcp-prod-syd-macq-fix-adapter,unknown,Service
gcp-prod-us-mcp-api,unknown,Service
gcp-prod-us-mcp-quote-service,unknown,Service
gcp-prod-us-pricing-api,unknown,Service
gcp-prod-us-trading-api,unknown,Service
getpaidinvoice,hk,Service
getpaidinvoice,nl,Service
getpaidinvoice,sg,Service
getpaidinvoice,us,Service
getpaidinvoicepayment,hk,Service
getpaidinvoicepayment,nl,Service
getpaidinvoicepayment,sg,Service
getpaidinvoicepayment,us,Service
getpaidmerchantproduct,hk,Service
getpaidmerchantproduct,nl,Service
getpaidmerchantproduct,sg,Service
getpaidmerchantproduct,us,Service
getpaidsubscription,hk,Service
getpaidsubscription,nl,Service
getpaidsubscription,sg,Service
getpaidsubscription,us,Service
globalaccountgraphql,hk,Service
globalaccountgraphql,sg,Service
google.cloud.recaptchaenterprise.v1.RecaptchaEnterpriseService,hk,Service
google.cloud.recaptchaenterprise.v1.RecaptchaEnterpriseService,sg,Service
graphql-federation,hk,Service
graphql-federation,sg,Service
growthairboardgraphql,hk,Service
growthairboardgraphql,sg,Service
gtpnairboardgraphql,hk,Service
gtpnnotificationservice,hk,Service
gtpnnotificationservice,sg,Service
gtpntransferservice,hk,Service
gtpntransferservice,sg,Service
hedger,unknown,Service
hologram-gateway,hk,Service
hologram-gateway,sg,Service
hologram-gateway-alpha,hk,Service
hologram-gateway-alpha,sg,Service
hologram-proxy,nl,Service
hologram_account.HologramAccountService,hk,Service
hologram_account.HologramAccountService,sg,Service
htmlmodifierservice,hk,Service
htmlmodifierservice,nl,Service
htmlmodifierservice,sg,Service
htmlmodifierservice,us,Service
hubspotintegrationservice,hk,Service
hubspotintegrationservice,sg,Service
id-verification,hk,Service
id-verification,sg,Service
inbound-gateway,hk,Service
inbound-gateway,sg,Service
individual-kyc,hk,Service
individual-kyc,sg,Service
industry-category-service,sg,Service
integrations-airboard-api-prod,hk,Service
integrations-airboard-api-prod,sg,Service
integrations-gateway-prod,hk,Service
integrations-gateway-prod,sg,Service
integrations-webapp-api-prod,hk,Service
integrations-webapp-api-prod,sg,Service
integrationsauthmanagement,hk,Service
integrationsauthmanagement,sg,Service
integrationsgraphql,hk,Service
integrationsgraphql,sg,Service
iss-3ds-service-0,sg,Service
iss-3ds-service-0,us,Service
iss-airboardng-api-0,sg,Service
iss-airboardng-api-0,us,Service
iss-authorization-service-0,sg,Service
iss-authorization-service-0,us,Service
iss-authorization-service-0.default,us,Service
iss-card-service-0,sg,Service
iss-card-service-0,us,Service
iss-cardholder-service-0,sg,Service
iss-cardholder-service-0,us,Service
iss-client-api-0,sg,Service
iss-client-api-0,us,Service
iss-config-service-0,sg,Service
iss-config-service-0,us,Service
iss-core-services-adapter-0,sg,Service
iss-core-services-adapter-0,us,Service
iss-core-services-adapter-0.default,us,Service
iss-dtoken-service-0,sg,Service
iss-dtoken-service-0,us,Service
iss-event-service-0,sg,Service
iss-event-service-0,us,Service
iss-fee-service-0,sg,Service
iss-fee-service-0,us,Service
iss-pci-3ds-integration-0,us,Service
iss-pci-authorization-service-0,sg,Service
iss-pci-authorization-service-0,us,Service
iss-pci-authorization-service-0.default,sg,Service
iss-pci-authorization-service-0.default,us,Service
iss-pci-card-integration-0,sg,Service
iss-pci-card-integration-0,us,Service
iss-pci-card-management-0,sg,Service
iss-pci-card-service-0,sg,Service
iss-pci-card-service-0,us,Service
iss-pci-client-api-0,sg,Service
iss-pci-client-api-0,us,Service
iss-pci-dtoken-integration-0,sg,Service
iss-pci-dtoken-integration-0,us,Service
iss-pci-hsm-integration-0,sg,Service
iss-pci-hsm-integration-0.default,sg,Service
iss-pci-iso-integration-0,us,Service
iss-pci-settlement-service-0,us,Service
iss-pci-token-mapper-service-0,sg,Service
iss-pci-token-mapper-service-0,us,Service
iss-pci-visa-iso-integration-0,sg,Service
iss-pci-webapp-api-0,sg,Service
iss-pci-webapp-api-0,us,Service
iss-post-auth-service-0,sg,Service
iss-post-auth-service-0,us,Service
iss-reconciliation-service-0,us,Service
iss-reissue-service-0,sg,Service
iss-reissue-service-0,us,Service
iss-remote-auth-service-0,sg,Service
iss-remote-auth-service-0,us,Service
iss-remote-call-gateway-0,sg,Service
iss-remote-call-gateway-0,us,Service
iss-risk-engine-0,sg,Service
iss-risk-engine-0,us,Service
iss-search-integration-0,sg,Service
iss-search-integration-0,us,Service
iss-transaction-views-service-0,sg,Service
iss-transaction-views-service-0,us,Service
iss-vau-service-0,us,Service
iss-webapp-api-0,sg,Service
iss-webapp-api-0,us,Service
iss-webhook-service-0,sg,Service
iss-webhook-service-0,us,Service
jaeger.api_v2.CollectorService,hk,Service
jaeger.api_v2.CollectorService,sg,Service
kafka:aggregator-v2-fx.execution.aggregator.state-changelog,unknown,MessageQueue
kafka:aliyun_hk_prod.gtpn.client_bank_account.linked_bank_account_lifecycle.0,hk,MessageQueue
kafka:aliyun_hk_prod.gtpn.proxy_collection_lifecycle.credit.0,hk,MessageQueue
kafka:aliyun_hk_prod.gtpn.proxy_collection_lifecycle.refund.0,unknown,MessageQueue
kafka:aliyun_hk_prod.gtpn.rails_api_gateway.rebalance_status_update_event.0,hk,MessageQueue
kafka:aliyun_hk_prod.gtpn.rails_api_gateway.remittance_status_update_event.0,hk,MessageQueue
kafka:aliyun_hk_prod.notification.events,hk,MessageQueue
kafka:aliyun_hk_prod.platform.account_service.account_domain_events.0,alihk,MessageQueue
kafka:aliyun_hk_prod.platform.account_service.account_domain_events.1,alihk,MessageQueue
kafka:aliyun_hk_prod.platform.account_service.client_legal_entity_domain_events.0,alihk,MessageQueue
kafka:aliyun_hk_prod.scale.rfi_service.rfi_session_domain_event,hk,MessageQueue
kafka:aliyun_hk_prod.scale.task_banner.events,alihk,MessageQueue
kafka:aliyun_hk_prod.scale.task_banner.events,hk,MessageQueue
kafka:aliyun_hk_prod_account_service_user_profile_change,alihk,MessageQueue
kafka:aliyun_hk_prod_core_banking_balance_activity_events,hk,MessageQueue
kafka:aliyun_hk_prod_core_banking_cw3_balance_activity_events,hk,MessageQueue
kafka:aliyun_hk_prod_core_banking_order_search_documents,hk,MessageQueue
kafka:aliyun_hk_prod_gtpn_payout_created_event,hk,MessageQueue
kafka:aliyun_hk_prod_gtpn_transaction_events,hk,MessageQueue
kafka:aliyun_hk_prod_gtpn_transaction_submit_event,hk,MessageQueue
kafka:aliyun_hk_prod_midas_record_topic,hk,MessageQueue
kafka:aliyun_hk_prod_order_aggregation_order_events,hk,MessageQueue
kafka:aliyun_hk_prod_rfi_domain_event,hk,MessageQueue
kafka:awx-client-position-blotter-client-position-store-changelog,unknown,MessageQueue
kafka:awx-client-position-blotter-client-position-store-repartition,unknown,MessageQueue
kafka:awx-conversion-monitor-debezium-pending-conversion-event-store-changelog,hk,MessageQueue
kafka:awx-conversion-monitor-debezium-unsettled-conversion-event-store-changelog,hk,MessageQueue
kafka:awx-daily-entrepot-position-keeper-daily-entrepot-position-store-changelog,unknown,MessageQueue
kafka:awx-daily-entrepot-position-keeper-daily-entrepot-position-store-repartition,unknown,MessageQueue
kafka:awx-entrepot-keeper-entrepot-position-store-changelog,unknown,MessageQueue
kafka:awx-hedger-rebuild-aggregation-replay-store-changelog,unknown,MessageQueue
kafka:awx-hedger-rebuild-aggregation-replay-store-repartition,unknown,MessageQueue
kafka:awx-ledger-feed-aggregation-store-changelog,unknown,MessageQueue
kafka:awx-ledger-feed-client-trade-store-changelog,unknown,MessageQueue
kafka:awx-ledger-feed-entrepot-trade-store-changelog,unknown,MessageQueue
kafka:awx-ledger-feed-execution-store-changelog,unknown,MessageQueue
kafka:awx-ledger-feed-trade-store-changelog,unknown,MessageQueue
kafka:awx-net-position-stream-v2-net-position-store-changelog,unknown,MessageQueue
kafka:awx-net-position-stream-v2-net-position-store-repartition,unknown,MessageQueue
kafka:awx-risk-position-blotter-risk-position-store-v2-changelog,unknown,MessageQueue
kafka:awx-risk-position-blotter-risk-position-store-v2-repartition,unknown,MessageQueue
kafka:awx-treasury-position-blotter-treasury-position-store-changelog,unknown,MessageQueue
kafka:awx.airstream.events,unknown,MessageQueue
kafka:awx.airstream.retention.events,unknown,MessageQueue
kafka:awx.execution.aggregation.events,unknown,MessageQueue
kafka:awx.execution.aggregation.events.remote,unknown,MessageQueue
kafka:awx.execution.blotter.events,unknown,MessageQueue
kafka:awx.execution.blotter.position.client,unknown,MessageQueue
kafka:awx.execution.blotter.position.risk,unknown,MessageQueue
kafka:awx.execution.client.trade.captured,hk,MessageQueue
kafka:awx.execution.client.trade.captured,unknown,MessageQueue
kafka:awx.execution.client.trade.captured.remote,unknown,MessageQueue
kafka:awx.execution.entrepot.blotter.events,unknown,MessageQueue
kafka:awx.execution.entrepot.blotter.raw.events,unknown,MessageQueue
kafka:awx.execution.entrepot.daily.position.events,unknown,MessageQueue
kafka:awx.execution.entrepot.payment.events,unknown,MessageQueue
kafka:awx.execution.entrepot.position.events,unknown,MessageQueue
kafka:awx.execution.entrepot.prekeyed.blotter.events,unknown,MessageQueue
kafka:awx.execution.execution.events.remote,unknown,MessageQueue
kafka:awx.execution.execution.events.remote.rekeyed,unknown,MessageQueue
kafka:awx.execution.keyed.aggregation.events,unknown,MessageQueue
kafka:awx.execution.keyed.client.trade.captured,unknown,MessageQueue
kafka:awx.execution.keyed.entrepot.blotter.events,unknown,MessageQueue
kafka:awx.execution.keyed.execution.events,unknown,MessageQueue
kafka:awx.execution.keyed.position.adjustment,unknown,MessageQueue
kafka:awx.execution.keyed.risk.order.status.events,unknown,MessageQueue
kafka:awx.execution.keyed.trade.captured,unknown,MessageQueue
kafka:awx.execution.keyed.trade.captured.entrepot,unknown,MessageQueue
kafka:awx.execution.monitor.aggregation.summary.events,unknown,MessageQueue
kafka:awx.execution.monitor.aggregation.summary.events.remote,unknown,MessageQueue
kafka:awx.execution.monitor.keyed.aggregation.events,unknown,MessageQueue
kafka:awx.execution.monitor.keyed.client.trade.captured,unknown,MessageQueue
kafka:awx.execution.monitor.keyed.trade.captured,unknown,MessageQueue
kafka:awx.execution.position.v2,unknown,MessageQueue
kafka:awx.execution.trade.captured,unknown,MessageQueue
kafka:awx.execution.trade.captured.all,unknown,MessageQueue
kafka:awx.execution.trade.captured.entrepot,unknown,MessageQueue
kafka:awx.execution.trade.captured.remote,unknown,MessageQueue
kafka:awx.fx.apm.aggregated.spot.price,unknown,MessageQueue
kafka:awx.fx.apm.calculated.spot.price,unknown,MessageQueue
kafka:awx.fx.command.queue.aggregator.v2,unknown,MessageQueue
kafka:awx.fx.constructed.quote.captured.conversion,hk,MessageQueue
kafka:awx.fx.constructed.quote.captured.conversion,unknown,MessageQueue
kafka:awx.fx.conversion.events,hk,MessageQueue
kafka:awx.fx.conversion.events,unknown,MessageQueue
kafka:awx.fx.conversion.legacy.combined,hk,MessageQueue
kafka:awx.fx.conversion.legacy.combined,unknown,MessageQueue
kafka:awx.fx.error.response.captured.conversion,hk,MessageQueue
kafka:awx.fx.error.response.captured.conversion,unknown,MessageQueue
kafka:awx.fx.event.multiplex.v2.hk.gcp,unknown,MessageQueue
kafka:awx.fx.event.multiplex.v2.nl.gcp,unknown,MessageQueue
kafka:awx.fx.event.multiplex.v2.sg.gcp,unknown,MessageQueue
kafka:awx.fx.event.multiplex.v2.tk.aliyun,unknown,MessageQueue
kafka:awx.fx.event.multiplex.v2.us.gcp,unknown,MessageQueue
kafka:awx.fx.gtpn.bridge.payout.order.v2.1,hk,MessageQueue
kafka:awx.fx.gtpn.bridge.payout.order.v2.1,unknown,MessageQueue
kafka:awx.fx.ledger.feed.events,unknown,MessageQueue
kafka:awx.fx.liquidity.engine.rekeyed.entrepot.blotter,unknown,MessageQueue
kafka:awx.fx.liquidity.engine.rekeyed.entrepot.position,unknown,MessageQueue
kafka:awx.fx.quote.ref.quote.v4,unknown,MessageQueue
kafka:awx.fx.request.intent.captured.conversion,hk,MessageQueue
kafka:awx.fx.request.intent.captured.conversion,unknown,MessageQueue
kafka:awx.notification.alert_event,hk,MessageQueue
kafka:awx.notification.alert_event,unknown,MessageQueue
kafka:awx.notification.notification_event,hk,MessageQueue
kafka:awx.notification.notification_event,unknown,MessageQueue
kafka:awx.observable.fwd.curves.and.prices,unknown,MessageQueue
kafka:awx.pricing.lp_price.carded,unknown,MessageQueue
kafka:awx.pricing.lp_price.live,unknown,MessageQueue
kafka:awx.pricing.lp_price.live.refinitiv,unknown,MessageQueue
kafka:awx.pricing.lp_price.reference,unknown,MessageQueue
kafka:awx.pricing.lp_price.summary,unknown,MessageQueue
kafka:awx.pricing.price.spot.v2,unknown,MessageQueue
kafka:awx.pricing.quote.hk.aliyun,hk,MessageQueue
kafka:awx.pricing.quote_request.hk.aliyun,hk,MessageQueue
kafka:awx.revenue.rule.events,hk,MessageQueue
kafka:awx.revenue.rule.events,unknown,MessageQueue
kafka:awx.venue.execution.events,unknown,MessageQueue
kafka:awx.venue.execution.events.remote,unknown,MessageQueue
kafka:awx.venue.order.events.remote,unknown,MessageQueue
kafka:execution-monitor-monitor-aggregation-store-changelog,unknown,MessageQueue
kafka:execution-monitor-monitor-client-trade-store-changelog,unknown,MessageQueue
kafka:execution-monitor-monitor-trade-store-changelog,unknown,MessageQueue
kafka:execution-signaler-execution.signaler.state-changelog,unknown,MessageQueue
kafka:gcp_hk_prod.acquiring.getpaid.invoice_payment.0,hk,MessageQueue
kafka:gcp_hk_prod.airwallexpay.airwallex_pay_service.transaction_journal,hk,MessageQueue
kafka:gcp_hk_prod.approval.request,hk,MessageQueue
kafka:gcp_hk_prod.approval.status,hk,MessageQueue
kafka:gcp_hk_prod.approval.updates,hk,MessageQueue
kafka:gcp_hk_prod.notification.channels_email,hk,MessageQueue
kafka:gcp_hk_prod.notification.channels_email_slow,hk,MessageQueue
kafka:gcp_hk_prod.notification.channels_one_off_email,hk,MessageQueue
kafka:gcp_hk_prod.notification.channels_push,hk,MessageQueue
kafka:gcp_hk_prod.notification.channels_sms,hk,MessageQueue
kafka:gcp_hk_prod.notification.channels_system-notification,hk,MessageQueue
kafka:gcp_hk_prod.notification.channels_webhook,hk,MessageQueue
kafka:gcp_hk_prod.notification.channels_webhook_retry,hk,MessageQueue
kafka:gcp_hk_prod.notification.channels_webhook_slow,hk,MessageQueue
kafka:gcp_hk_prod.notification.events,alihk,MessageQueue
kafka:gcp_hk_prod.notification.events,hk,MessageQueue
kafka:gcp_hk_prod.notification.events,us,MessageQueue
kafka:gcp_hk_prod.notification.history_email,hk,MessageQueue
kafka:gcp_hk_prod.notification.history_push,hk,MessageQueue
kafka:gcp_hk_prod.notification.history_sms,hk,MessageQueue
kafka:gcp_hk_prod.notification.history_webhook,hk,MessageQueue
kafka:gcp_hk_prod.platform.accounting.journal_entry,hk,MessageQueue
kafka:gcp_hk_prod.risk_ns.create_case,hk,MessageQueue
kafka:gcp_hk_prod.risk_ns.name_screening_request,alihk,MessageQueue
kafka:gcp_hk_prod.risk_ns.screen_result,hk,MessageQueue
